run_number,timestamp,run_type,target_type,comment,deadtime_fraction,total_events,run_time_seconds,beam_energy_MeV,beam_current_uA,momentum_RHRS_MeV,momentum_LHRS_MeV
4295,2019-02-24T00:05:48,Production,Tungsten 2.8%,"Tungsten 2.8% target; RHRSTwoArm Config.; 45 uA; Prescales T1=T2=30000,T3=T4=15000,T5=1500,T6=1",0.08306,3172216,1109.16,2221.4,47.3302,1000.00,1000.00
4294,2019-02-23T23:45:31,Production,Tungsten 2.8%,"Tungsten 2.8% target; RHRSTwoArm Config.; 50 uA; Prescales T1=T2=30000,T3=T4=15000,T5=1500,T6=1",0.07981,3040792,1107.18,2220.76,47.1769,1000.00,1000.00
4293,2019-02-23T23:25:58,Production,Tungsten 2.8%,"Tungsten 2.8% target; RHRSTwoArm Config.; 50 uA; Prescales T1=T2=30000,T3=T4=15000,T5=1500,T6=1",0.07179,3018500,1216.86,2221.38,47.4622,1000.00,1000.00
4292,2019-02-23T23:04:29,Production,Tungsten 2.8%,"Tungsten 2.8% target; RHRSTwoArm Config.; 50 uA; Prescales T1=T2=30000,T3=T4=15000,T5=1500,T6=1",0.06520,3024481,1398.72,2221.37,50.0194,1000.00,1000.00
4291,2019-02-23T22:34:24,Production,Tungsten 2.8%,Tungsten 2.8% target; RHRSTwoArm Config.; 40 uA,0.07150,1818927,748.92,2221.4,45.3658,1000.00,1000.00
4290,2019-02-23T22:20:45,Production,Tungsten 2.8%,Tungsten 2.8% target; RHRSTwoArm Config.; 40 uA,0.06979,3531165,1464.48,2221.37,45.5892,1000.00,1000.00
4289,2019-02-23T21:53:35,Production,Tungsten 2.8%,Tungsten 2.8% target; RHRSTwoArm Config.; 40 uA,0.04439,3197780,2060.22,2220.76,0.056132,1000.00,1000.00
4288,2019-02-23T21:17:55,Production,Tungsten 2.8%,Tungsten 2.8% target; RHRSTwoArm Config.; 40 uA,0.09264,56554,125.82,2220.76,0.0556265,1000.00,1000.00
4287,2019-02-23T21:06:58,SciFi,Bogdan Wire,"Bogdan Wire target; RHRSTwoArm Config. in RAW mode; 0.12 uA; T1=T4=1; HV S0 on, HV SciFI on, left in, HV = 725V",0.00326,51732,481.08,2221.4,0.162958,1000.00,1000.00
4286,2019-02-23T20:57:18,SciFi,Bogdan Wire,"Bogdan Wire target; RHRSTwoArm Config. in RAW mode; 0.12 uA; T1=T4=1; HV S0 on, HV SciFI on, left in",0.00334,56392,512.46,2221.41,0.162326,1000.00,1000.00
