run-number rawfile-number n-CODA-events
4315 1 338818
4315 2 338818
4315 3 338818
4315 4 338818
4315 5 338818
4315 6 338818
4315 7 338818
4315 8 338818
4315 9 338818
4316 0 339026
4316 1 339026
4316 2 339026
4316 3 339026
4316 4 339026
4316 5 339026
4316 6 339026
4316 7 339026
4316 8 339026
4317 0 338921
4317 1 338921
4317 2 338921
4317 3 338921
4317 4 338921
4317 5 338921
4317 6 338921
4317 7 338921
4317 8 338921
4318 0 338915
4318 1 338915
4318 2 338915
4318 3 338915
4318 4 338915
4318 5 338915
4318 6 338915
4318 7 338915
4318 8 338915
4319 0 338766
4319 1 338766
4319 2 338766
4319 3 338766
4319 4 338766
4319 5 338766
4319 6 338766
4319 7 338766
4319 8 338766
4320 0 339143
4320 1 339143
4320 2 339143
4320 3 339143
4320 4 339143
4320 5 339143
4320 6 339143
4320 7 339143
4320 8 339143
4321 0 338794
4321 1 338794
4321 2 338794
4321 3 338794
4321 4 338794
4321 5 338794
4321 6 338794
4321 7 338794
4321 8 338794
4321 9 338794
4322 0 338781
4322 1 338781
4322 2 338781
4322 3 338781
4322 4 338781
4322 5 338781
4322 6 338781
4322 7 338781
4322 8 338781
4322 9 338781
4323 0 338683
4323 1 338683
4323 2 338683
4323 3 338683
4323 4 338683
4323 5 338683
4323 6 338683
4323 7 338683
4323 8 338683
4324 0 338755
4324 1 338755
4324 2 338755
4325 0 337279
4325 1 337279
4325 2 337279
4325 3 337279
4325 4 337279
4325 5 337279
4325 6 337279
4325 7 337279
4325 8 337279
4326 0 337397
4326 1 337397
4326 2 337397
4326 3 337397
4326 4 337397
4326 5 337397
4326 6 337397
4326 7 337397
4326 8 337397
4327 0 337732
4327 1 337732
4327 2 337732
4327 3 337732
4327 4 337732
4327 5 337732
4327 6 337732
4327 7 337732
4327 8 337732
4328 0 337264
4328 1 337264
4328 2 337264
4328 3 337264
4328 4 337264
4328 5 337264
4328 6 337264
4328 7 337264
4328 8 337264
4329 0 337458
4329 1 337458
4329 2 337458
4329 3 337458
4329 4 337458
4329 5 337458
4329 6 337458
4329 7 337458
4329 8 337458
4329 9 337458
4330 0 337288
4330 1 337288
4330 2 337288
4330 3 337288
4330 4 337288
4330 5 337288
4330 6 337288
4330 7 337288
4330 8 337288
4331 0 337556
4331 1 337556
4331 2 337556
4331 3 337556
4331 4 337556
4331 5 337556
4331 6 337556
4331 7 337556
4331 8 337556
4332 0 337138
4332 1 337138
4332 2 337138
4332 3 337138
4332 4 337138
4332 5 337138
4332 6 337138
4332 7 337138
4332 8 337138
4333 0 337244
4333 1 337244
4333 2 337244
4333 3 337244
4333 4 337244
4333 5 337244
4333 6 337244
4333 7 337244
4333 8 337244
4334 0 337317
4334 1 337317
4334 2 337317
4334 3 337317
4334 4 337317
4334 5 337317
4334 6 337317
4334 7 337317
4334 8 337317
4335 0 337178
4335 1 337178
4335 2 337178
4335 3 337178
4335 4 337178
4335 5 337178
4335 6 337178
4335 7 337178
4335 8 337178
4335 9 337178
4336 0 337316
4336 1 337316
4336 2 337316
4336 3 337316
4336 4 337316
4336 5 337316
4336 6 337316
4336 7 337316
4336 8 337316
4337 0 337259
4337 1 337259
4337 2 337259
4337 3 337259
4337 4 337259
4337 5 337259
4337 6 337259
4337 7 337259
4337 8 337259
4338 0 337459
4338 1 337459
4338 2 337459
4338 3 337459
4338 4 337459
4338 5 337459
4338 6 337459
4338 7 337459
4338 8 337459
4339 0 337187
4339 1 337187
4339 2 337187
4339 3 337187
4339 4 337187
4339 5 337187
4339 6 337187
4339 7 337187
4339 8 337187
4339 9 337187
4340 0 337207
4340 1 337207
4340 2 337207
4340 3 337207
4340 4 337207
4340 5 337207
4340 6 337207
4340 7 337207
4340 8 337207
4341 0 341833
4341 1 341833
4341 2 341833
4341 3 341833
4341 4 341833
4341 5 341833
4341 6 341833
4341 7 341833
4341 8 341833
4342 0 341744
4342 1 341744
4342 2 341744
4342 3 341744
4342 4 341744
4342 5 341744
4342 6 341744
4342 7 341744
4342 8 341744
