run-number rawfile-number n-CODA-events
4287 0 51881
4288 0 56584
4289 0 340890
4289 1 340890
4289 2 340890
4289 3 340890
4289 4 340890
4289 5 340890
4289 6 340890
4289 7 340890
4289 8 340890
4289 9 340890
4290 0 340441
4290 1 340441
4290 2 340441
4290 3 340441
4290 4 340441
4290 5 340441
4290 6 340441
4290 7 340441
4290 8 340441
4290 9 340441
4290 10 340441
4291 0 340485
4291 1 340485
4291 2 340485
4291 3 340485
4291 4 340485
4291 5 340485
4292 0 338617
4292 1 338617
4292 2 338617
4292 3 338617
4292 4 338617
4292 5 338617
4292 6 338617
4292 7 338617
4292 8 338617
4293 0 338642
4293 1 338642
4293 2 338642
4293 3 338642
4293 4 338642
4293 5 338642
4293 6 338642
4293 7 338642
4293 8 338642
4294 0 338999
4294 1 338999
4294 2 338999
4294 3 338999
4294 4 338999
4294 5 338999
4294 6 338999
4294 7 338999
4294 8 338999
4295 0 338954
4295 1 338954
4295 2 338954
4295 3 338954
4295 4 338954
4295 5 338954
4295 6 338954
4295 7 338954
4295 8 338954
4295 9 338954
4296 0 339242
4296 1 339242
4296 2 339242
4296 3 339242
4296 4 339242
4296 5 339242
4296 6 339242
4296 7 339242
4296 8 339242
4296 9 339242
4297 0 339042
4297 1 339042
4297 2 339042
4297 3 339042
4297 4 339042
4297 5 339042
4297 6 339042
4297 7 339042
4297 8 339042
4297 9 339042
4298 0 338930
4298 1 338930
4298 2 338930
4298 3 338930
4298 4 338930
4298 5 338930
4298 6 338930
4298 7 338930
4298 8 338930
4299 0 338985
4299 1 338985
4299 2 338985
4299 3 338985
4299 4 338985
4299 5 338985
4299 6 338985
4299 7 338985
4299 8 338985
4299 9 338985
4300 0 338943
4300 1 338943
4300 2 338943
4300 3 338943
4300 4 338943
4300 5 338943
4300 6 338943
4300 7 338943
4300 8 338943
4301 0 338998
4301 1 338998
4301 2 338998
4301 3 338998
4301 4 338998
4301 5 338998
4301 6 338998
4301 7 338998
4301 8 338998
4302 0 338865
4302 1 338865
4302 2 338865
4302 3 338865
4302 4 338865
4302 5 338865
4302 6 338865
4302 7 338865
4302 8 338865
4303 0 338901
4303 1 338901
4303 2 338901
4303 3 338901
4303 4 338901
4303 5 338901
4303 6 338901
4303 7 338901
4303 8 338901
4304 0 338853
4304 1 338853
4304 2 338853
4304 3 338853
4304 4 338853
4304 5 338853
4304 6 338853
4304 7 338853
4304 8 338853
4305 0 339198
4305 1 339198
4305 2 339198
4305 3 339198
4305 4 339198
4305 5 339198
4305 6 339198
4305 7 339198
4305 8 339198
4306 0 339227
4306 1 339227
4306 2 339227
4306 3 339227
4306 4 339227
4306 5 339227
4306 6 339227
4306 7 339227
4306 8 339227
4306 9 339227
4307 0 338940
4307 1 338940
4307 2 338940
4307 3 338940
4307 4 338940
4307 5 338940
4307 6 338940
4307 7 338940
4307 8 338940
4307 9 338940
4308 0 338934
4308 1 338934
4308 2 338934
4308 3 338934
4308 4 338934
4308 5 338934
4308 6 338934
4308 7 338934
4308 8 338934
4309 0 338824
4309 1 338824
4309 2 338824
4309 3 338824
4309 4 338824
4309 5 338824
4309 6 338824
4309 7 338824
4309 8 338824
4310 0 338872
4310 1 338872
4310 2 338872
4310 3 338872
4310 4 338872
4310 5 338872
4310 6 338872
4310 7 338872
4310 8 338872
4310 9 338872
4310 10 338872
4310 11 338872
4311 0 338811
4311 1 338811
4311 2 338811
4311 3 338811
4311 4 338811
4311 5 338811
4311 6 338811
4311 7 338811
4311 8 338811
4311 9 338811
4312 0 338791
4312 1 338791
4312 2 338791
4312 3 338791
4312 4 338791
4312 5 338791
4312 6 338791
4312 7 338791
4312 8 338791
4313 0 338819
4313 1 338819
4313 2 338819
4313 3 338819
4313 4 338819
4313 5 338819
4313 6 338819
4313 7 338819
4313 8 338819
4314 0 338745
4314 1 338745
4314 2 338745
4314 3 338745
4314 4 338745
4314 5 338745
4314 6 338745
4314 7 338745
4314 8 338745
4315 0 338818
